Dataset,Classifier,AUC,AUC,F1,F1,LogLoss,LogLoss,Accuracy,Accuracy,Runtime,Runtime
,,mean,std,mean,std,mean,std,mean,std,mean,std
!ar4.csv,FeatureSqueezing,0.8449346405228757,0.1369450186099874,0.6674050132873662,0.14051143475371794,1.5402822531780151,2.0938830311369294,0.8415584415584416,0.05120774810894647,0.040418148040771484,0.01692662480084476
!ar4.csv,MonteCarloRandomForest_Distance_Prob_ZooAttack,0.8609477124183007,0.12460744031790136,0.6958536817360347,0.06272157825096523,0.4726272100792788,0.07994596701545298,0.8597402597402597,0.033859068741578305,11.126526880264283,1.5446360718453753
!ar4.csv,MonteCarloRandomForest_Depth_Prob_ZooAttack,0.8477124183006536,0.12871809161918868,0.7249494982002722,0.07530442008872203,0.440809782933528,0.0624254285353703,0.868831168831169,0.04059812178369013,1.2101709842681885,0.19677831770048745
!ar4.csv,MonteCarloRandomForest_Confidence_Prob_ZooAttack,0.8617647058823529,0.07845136931901532,0.6958536817360347,0.06272157825096523,0.5419862519226818,0.08441000365352258,0.8597402597402597,0.033859068741578305,13.161130475997926,2.0675012415437446
!ar4.csv,FeatureSqueezing_ZooAttack,0.5906862745098039,0.06714523299903292,0.44842105263157894,0.0014413751513293878,3.4375476378434855,2.7910891655463845,0.8129870129870131,0.004742186645066359,0.003273677825927734,0.0005341634954080048
!ar4.csv,MonteCarloRandomForest_Agreement_Prob_ZooAttack,0.8297385620915033,0.12368563322612315,0.7249494982002722,0.07530442008872203,1.5785873284458565,2.0865819276520563,0.868831168831169,0.04059812178369013,5.374104690551758,0.9065615319795517
!ar4.csv,RandomForest_ZooAttack,0.8433823529411765,0.1337512124345639,0.6577333636157165,0.1216207725773987,1.5431278368133863,2.0911713036560085,0.841125541125541,0.0252236487133458,0.003556489944458008,0.00024111245089403677
!ar4.csv,MonteCarloRandomForest_Fix_Prob_ZooAttack,0.861111111111111,0.11137362059918988,0.6958536817360347,0.06272157825096523,0.49258464321645856,0.05315735361659134,0.8597402597402597,0.033859068741578305,1.1426243305206298,0.10906915026972505
!ar4.csv,MonteCarloRandomForest_Confidence_Prob,0.8589869281045752,0.09043863024915332,0.6958536817360347,0.06272157825096523,0.5439010643878388,0.0871706734392061,0.8597402597402597,0.033859068741578305,13.278235912322998,1.0328771832910637
!ar4.csv,MonteCarloRandomForest_Fix_Prob,0.8553921568627452,0.14703839727422197,0.6958536817360347,0.06272157825096523,0.49298475220018256,0.053881007665488145,0.8597402597402597,0.033859068741578305,1.0977505683898925,0.09077429621096302
!ar4.csv,MonteCarloRandomForest_Distance_Prob,0.8723856209150327,0.12043991179220447,0.6958536817360347,0.06272157825096523,0.46214226223288424,0.08447185441521306,0.8597402597402597,0.033859068741578305,11.264209508895874,1.32242267134213
!ar4.csv,MonteCarloRandomForest_Depth_Prob,0.8276143790849673,0.1382482340704185,0.6958536817360347,0.06272157825096523,0.44145811435458937,0.06154224763463056,0.8597402597402597,0.033859068741578305,1.3052860736846923,0.3240459453139524
!ar4.csv,RandomForest,0.8449346405228757,0.1369450186099874,0.6674050132873662,0.14051143475371794,1.5402822531780151,2.0938830311369294,0.8415584415584416,0.05120774810894647,0.025941085815429688,0.0004888749971361283
!ar4.csv,MonteCarloRandomForest_Bayes_Prob,0.8354575163398692,0.12336547201543475,0.6958536817360347,0.06272157825096523,1.58119721087605,2.0846703351299487,0.8597402597402597,0.033859068741578305,15.40556354522705,4.005028969931076
!ar4.csv,MonteCarloRandomForest_Agreement_Prob,0.832516339869281,0.12158251774254389,0.6958536817360347,0.06272157825096523,1.5785873284458565,2.0865819276520563,0.8597402597402597,0.033859068741578305,5.7267622470855715,0.8789094346857189
!bodyfat.csv,FeatureSqueezing_ZooAttack,0.7233374358974359,0.12238427309551539,0.37484240905293537,0.08557060267866229,3.943300733730072,5.667579539440652,0.5275294117647059,0.045653358503372425,0.0037441253662109375,8.325896306149594e-05
!bodyfat.csv,MonteCarloRandomForest_Agreement_Prob_ZooAttack,0.33063025641025645,0.06655200337471961,0.22384022375414392,0.050594444432571176,3.8689760942646507,1.7292150197616125,0.2343529411764706,0.04629909616037019,13.662932872772217,0.7550669420436698
!bodyfat.csv,MonteCarloRandomForest_Confidence_Prob_ZooAttack,0.27137897435897435,0.09075078474746866,0.1998507256053243,0.02031101838922289,0.7283990892569598,0.04314337397239808,0.2104313725490196,0.027778992668549995,37.34528651237488,7.710443753058536
!bodyfat.csv,MonteCarloRandomForest_Depth_Prob_ZooAttack,0.34956,0.05431534005859189,0.22705627964008385,0.05185703447742831,0.6792934939369696,0.0074762331843362005,0.2383529411764706,0.04560785999696214,3.127429723739624,0.3104829172689959
!bodyfat.csv,MonteCarloRandomForest_Distance_Prob_ZooAttack,0.28132153846153846,0.09978614772655825,0.21393875150458,0.045943661317136786,0.7617636760305411,0.09292325088537723,0.22627450980392155,0.05059735439924699,30.0743049621582,4.939373582603058
!bodyfat.csv,MonteCarloRandomForest_Fix_Prob_ZooAttack,0.3438707692307692,0.0613896909411194,0.2261912046354957,0.04676856761456194,0.6919419058096501,0.0041693181352405306,0.2383529411764706,0.0388734082440955,2.7170101165771485,0.06840677359898802
!bodyfat.csv,FeatureSqueezing,0.9966092307692307,0.007143181463473943,0.9597600532416681,0.04737970712490863,0.16546592961246376,0.054126903446843115,0.9603137254901961,0.046573807761405815,0.04097890853881836,0.011590831645554543
